[2019-12-24T09:32:13.144] [INFO] http - [::1 GET /newborn?username=admin 304 4ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:32:33.524] [INFO] http - [::1 GET /abroad?username=admin 304 4ms][http://localhost:8006/newborn?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:36:46.698] [INFO] http - [::1 GET /template?abroadid=11 200 3ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:36:56.298] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:42:01.143] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:43:55.382] [INFO] http - [::1 GET /abroad?username=admin 304 5ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:43:55.638] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:43:56.493] [INFO] http - [::1 GET /abroad?username=admin 304 4ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:43:56.735] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:43:57.087] [INFO] http - [::1 GET /abroad?username=admin 304 2ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:43:57.327] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:44:34.217] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:45:36.823] [INFO] http - [::1 GET /abroad?username=admin 304 4ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:45:37.101] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:45:48.431] [INFO] http - [::1 GET /template?abroadid=b4c4fb5b08e44a268c9150d34dedff57 200 3ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:45:52.757] [INFO] http - [::1 GET /template?abroadid=11 304 3ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:46:09.185] [INFO] http - [::1 GET /template?abroadid=b4c4fb5b08e44a268c9150d34dedff57 304 2ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:46:42.257] [INFO] http - [::1 GET /abroad?username=admin 304 3ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:46:42.437] [INFO] http - [::1 GET /public/manager/assets/global/plugins/datatables/pdfmake.min.js.map 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
[2019-12-24T09:46:47.152] [INFO] http - [::1 GET /template?abroadid=11 304 3ms][http://localhost:8006/abroad?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36]
